item_id,instruction_hash,difficulty
0,73429d562982300e6643d83a84428a22e0656773b67dad037d2de2f8bc0b45b9,0.2
1,3f23a7d4df7cb484dc2414bb2632f29e51a580a202d5968f1dbca00ed0f210bc,0.1
2,9eea4e53dec08963ef76fdee76346277a0ae3356c2c1bb67223507ebd6340740,0.3
3,4ed90b091532ab4071ce410731d178b500525d6700568f1e94035e7694c22d23,0.3
4,d38bacc8724a241927dec39e1459b3c17295f79d244c7ec4a518303968c9dc01,0.2
5,16f83fb4320c9faf79cc5ef0cf235beb70b19a06e9e4dc4f03dd9d0ca78d5e75,0.6
6,cf2595dad6a3ad5bbef4cb35fdf9d90cf2ea8ea8cfa675e9c0af771abd2dea12,0.1
7,99c93669d063c21f3c4160988005ee0b93ca9cc212e4815db446c28f9bbff151,0.3
8,a13430e732d2c1e663238de0e34daf75abd640df18ff2ab97d0d55479204c2d1,0.3
9,699ab79580f3d4e07173fdf9ff3b39ab4d4aa99e3efdf92ea650753c03c27a4d,0.4
10,09296cd5e0fc1cb5a7c241379aa53704fca1c2d3cf3e106fdf539f2f88d050c1,0.4
11,3097703f5bcc130a683ad04b50f35470e76b8613faf2a78c10ce14fbf0421795,0.6
12,922bb01991f9021652a70a10145417062f164211a83b40dcf1c61b6b67525daf,0.2
13,da32de9a8fdf17faf139ce3943810fcbe34c0a96e5790b2553a1dde0d4ede5c3,0.2
14,9646c1dc9939f268f57613f37f2264d20720261283ad70383e5f14400edd9749,0.3
15,9a9628f61eb62c54b986eccd2adad13cb9bc4748d23d34aae74e563ba95d8183,0.4
16,20967bb841486681f21fa9e8384ce8d14e06242428d56c120977d293dfb28842,0.3
17,3a8aedcdee8f55b3805f04fc09d8465beff04a0ecc7a94e502a5589c5b996407,0.4
18,bf00934879c39105ff9c6c672231e0f35cb507a7a38b0612d114ab36064a2655,0.3
19,14ea057578ce5ace80e1260f06fdb8f2e1a6d6a017ca95fcbf3907dfc24fe26f,0.4
20,e04a6ba1b453a05d7c06fdbe4bca8fe555b80ae46a5a1cbf2000a512cee86887,0.4
21,9c7d7104e70d1658738b2173be75fe5ebaa86035b540c0a47667d9b3cc8d11d2,0.6
22,54d62a9d0b66c95541832bd1e4ea787860e885c0af445f69a6f8cdc5cab0cf76,0.6
23,1e399e6f599e18023c6806a7321a4319868ee0d90cce9dc1700ebfd1c865c284,0.4
24,b09ae8efa84dfc0d6fa8fceda51229631c6ab3b0078c466f3af5cfa66dc4664a,0.3
25,3509995c5eb52aaaf44f42df152e17ebc0def8328c91102f34ec599ecd319cea,0.3
26,77e52fea4fc9e1ce71fdf8a1ef07a448e779cf4c3c00982da6ca7d6134bbabe7,0.3
27,ad0ec015b47730952771e3ebb3a0ad61f9c0e6097055cdb00b8ec31330c4316a,0.4
28,5d54ceb241898c491233b220d4a66fff25a3afb2cb1fbaeafd727194408874e5,0.2
29,aed4b5ec561a3e667ad0ec47dcc35240a2e25553503b3a9a12137adb985d24f3,0.6
30,54641b315d08f6ef56f7445c5c5abc5cee8bbdea39a60249c63455e04a9d934f,0.3
31,b4c60d4e07c616277690eb81fe615d58dce5609cb91074b877a4aaa3e35efe37,0.2
32,baa7236fd0a13c7d9969e6477d82d457d0dc32ac01b8cd691545382a80855aae,0.4
33,b3550a1d08c185830b9fcd5e55533bf453a7d3496f7c1408b3c7e661d42262c2,0.3
34,f9fe6096f4fc6a5e576d5a077a371cee2c3310e655ddffb335c1e17ef12cd900,0.2
35,bb49bbe12b8895d4ddf8cc6b29badf5ec997a9bb6e56d12bedb29620e2add527,0.2
36,7f5709a21d11e1ac64737bb88e76a2d9180a2959e36fb725993b9c18ca1954ce,0.2
37,93770ce83bb6a7d05823dc2fa244dcc03d02e123db2878a866e397f46527d33a,0.3
38,ea66ef8b11aa8d8a4498b7813627b9ea37d729b849d536d602ea51a402938c38,0.3
39,6c87b8298ae51885a6afb3568e0d48e437d74e5ef155b4f5eff677e5c5594e95,0.3
40,eb06c14679dc17a42d1e0dca0065f0c0345af628ef2d4f691943af81a468df9e,0.3
41,7a6b8353e50c676b6fe1ec513e9ab3a6f741f314a268f10a93bb85a73f810123,0.2
42,34f9511baf565e2f50901b07da6e7bad47da7a2ea3760910d1542780d8d3559f,0.6
43,380667e139f0307bcb2875103fb1a73ff30a58205859f8787467e065a5948a64,0.4
44,9d74815165075d87b83e5acf7906238d26a617fbc83217c62b2608d7760eb4c9,0.2
45,73bcb06b471e0460f313d86ba83c1ec9688f26287add9f16c12417996c0903b2,0.3
46,c696b849f4225dc395985e39b8360eaa04f92555a8c1b383bf321c44bab2f9e6,0.3
