ID,dataset,LLM,comparator,effect_log_loss,CI_lo,CI_hi,raw_p,holm_p,holm_supported,hypothesis_membership_status,operationalization_status,confirmatory_exposures,warm_included,backbone,source_artifact,source_sha256
C1_XES_Mini_vs_Std,xes3g5m,gpt-4o-mini,Standard,5.551452904321019e-05,-0.0108563494831645,0.010967378541251,0.989406486667413,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_XES_Mini_vs_RandResample,xes3g5m,gpt-4o-mini,Random-ResampledScore,-0.0002344666936515,-0.0008958720235026,0.0004269386361994,0.3807190255385282,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_XES_5.4_vs_Std,xes3g5m,gpt-5.4,Standard,-0.0002824559410223,-0.0125721027333568,0.0120071908513121,0.952181771397701,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_XES_5.4_vs_RandResample,xes3g5m,gpt-5.4,Random-ResampledScore,-0.0005724371637171,-0.0030349992198614,0.0018901248924271,0.553823006676644,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_Junyi_Mini_vs_Std,junyi,gpt-4o-mini,Standard,-0.0026299219325921,-0.0163982888117732,0.0111384449465889,0.6239553933092707,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_Junyi_Mini_vs_RandResample,junyi,gpt-4o-mini,Random-ResampledScore,-0.0012139833874173,-0.0038165988303858,0.0013886320555512,0.264989297189866,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_Junyi_5.4_vs_Std,junyi,gpt-5.4,Standard,-0.0033715528134434,-0.018399587648733,0.0116564820218461,0.5671058667553857,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_Junyi_5.4_vs_RandResample,junyi,gpt-5.4,Random-ResampledScore,-0.0019556142682685,-0.0061576988192425,0.0022464702827053,0.265907120952154,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_DBE_Mini_vs_Std,dbe_kt22,gpt-4o-mini,Standard,0.0038701842515052,-0.0335941295387591,0.0413344980417695,0.7884969415859318,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_DBE_Mini_vs_RandResample,dbe_kt22,gpt-4o-mini,Random-ResampledScore,0.0006555396066811,-0.0016425103139605,0.0029535895273229,0.4726782476832702,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_DBE_5.4_vs_Std,dbe_kt22,gpt-5.4,Standard,0.0058208360539398,-0.0325471183710583,0.0441887904789381,0.6952452988961139,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
C1_DBE_5.4_vs_RandResample,dbe_kt22,gpt-5.4,Random-ResampledScore,0.0026061914091158,-0.004972755649298,0.0101851384675297,0.3937730812321608,1.0,False,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_002,"0,1,3,5,10,20",False,GRU,artifacts/tlt3d/family_C_confirmatory_results.csv,2ac58b7848545dfa22078b4a1fa248b40ced6229aec3cc203dd2568320b3abd2
