ID,dataset,backbone,LLM,comparator,effect_log_loss,CI_lo,CI_hi,raw_p,holm_p,effect_direction,holm_supported,llm_better_or_worse,hypothesis_membership_status,operationalization_status,source_artifact,source_sha256
D1_XES_GRU_Mini_vs_Std,xes3g5m,GRU,gpt-4o-mini,Standard,4.976267855274497e-05,-0.000662437091916,0.0007619624490215,0.855633190934712,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_GRU_Mini_vs_RandPermute,xes3g5m,GRU,gpt-4o-mini,Random-PermutedScore,-0.0001220696944999,-0.0003354273322756,9.12879432757756e-05,0.1873696246922674,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_GRU_Mini_vs_CharLen,xes3g5m,GRU,gpt-4o-mini,CharacterLength,-3.4942117812786225e-05,-0.0001608391331889,9.095489756332877e-05,0.483940297909474,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_GRU_5.4_vs_Std,xes3g5m,GRU,gpt-5.4,Standard,0.000272885964937,-0.000432776178184,0.000978548108058,0.3434227216324026,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_GRU_5.4_vs_RandPermute,xes3g5m,GRU,gpt-5.4,Random-PermutedScore,0.0001010535918843,-7.807820710040278e-05,0.0002801853908691,0.1923453942072088,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_GRU_5.4_vs_CharLen,xes3g5m,GRU,gpt-5.4,CharacterLength,0.0001881811685714,0.0001015443070796,0.0002748180300633,0.0038107231716127,0.1067002488051573,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_Mini_vs_Std,xes3g5m,SAKT,gpt-4o-mini,Standard,0.0001273242278627,-0.0030057349536417,0.0032603834093671,0.9155998445804212,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_Mini_vs_RandPermute,xes3g5m,SAKT,gpt-4o-mini,Random-PermutedScore,0.0004384719267379,0.0002812160502612,0.0005957278032146,0.0014997716168889,0.0479926917404473,LLM_BETTER,True,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_Mini_vs_CharLen,xes3g5m,SAKT,gpt-4o-mini,CharacterLength,0.0002940149877708,0.0001811253200993,0.0004069046554424,0.0019404214486067,0.0601530649068084,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_5.4_vs_Std,xes3g5m,SAKT,gpt-5.4,Standard,0.000353888319915,-0.0027632986147601,0.0034710752545901,0.768365531119306,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_5.4_vs_RandPermute,xes3g5m,SAKT,gpt-5.4,Random-PermutedScore,0.0006650360187902,0.0005294654015878,0.0008006066359927,0.0001682779607895,0.0057214506668447,LLM_BETTER,True,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_XES_SAKT_5.4_vs_CharLen,xes3g5m,SAKT,gpt-5.4,CharacterLength,0.0005205790798231,0.0004406708046236,0.0006004873550227,5.493092006744456e-05,0.001977513122428,LLM_BETTER,True,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_Mini_vs_Std,junyi,GRU,gpt-4o-mini,Standard,-0.0026673296211016,-0.0134030515399514,0.0080683922977481,0.5282432653488593,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_Mini_vs_RandPermute,junyi,GRU,gpt-4o-mini,Random-PermutedScore,-0.0004332012431524,-0.0015928861401949,0.00072648365389,0.3582490304662042,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_Mini_vs_CharLen,junyi,GRU,gpt-4o-mini,CharacterLength,-0.0007914807274354,-0.0011041219279923,-0.0004788395268784,0.0021586110184701,0.0647583305541037,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_5.4_vs_Std,junyi,GRU,gpt-5.4,Standard,-0.0040038849696155,-0.0141907957005125,0.0061830257612814,0.3364848897973939,1.0,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_5.4_vs_RandPermute,junyi,GRU,gpt-5.4,Random-PermutedScore,-0.0017697565916663,-0.0020485755760325,-0.0014909376073,6.089261796907989e-05,0.0021312416289177,LLM_WORSE,True,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_GRU_5.4_vs_CharLen,junyi,GRU,gpt-5.4,CharacterLength,-0.0021280360759492,-0.0036341463022943,-0.0006219258496041,0.0172050448407405,0.447331165859254,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_SAKT_Mini_vs_Std,junyi,SAKT,gpt-4o-mini,Standard,-0.0061947634656943,-0.0105821668274606,-0.0018073601039281,0.0172450364923664,0.447331165859254,LLM_WORSE,False,worse,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
D1_Junyi_SAKT_Mini_vs_RandPermute,junyi,SAKT,gpt-4o-mini,Random-PermutedScore,0.0011320697861082,1.651526899276246e-06,0.0022624880453171,0.04979296859081,1.0,LLM_BETTER,False,better,PRE_RESULT_FROZEN,POST_RESULT_OPERATIONALIZATION_REPAIR_003,artifacts/tlt3d/family_D_confirmatory_results.csv,f3aef569f5073a09d113d6187d4d273ff692ee7212297986d7e21036fda3bb38
