item_id,item_id_hash,original_mini_score,permuted_score,permutation_seed,mapping_hash
2,dbe_2,0.1,0.6,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
3,dbe_3,0.1,0.2,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
4,dbe_4,0.3,0.6,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
5,dbe_5,0.2,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
6,dbe_6,0.2,0.4,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
7,dbe_7,0.2,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
8,dbe_8,0.3,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
9,dbe_9,0.2,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
10,dbe_10,0.3,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
11,dbe_11,0.3,0.6,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
12,dbe_12,0.4,0.1,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
13,dbe_13,0.4,0.2,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
14,dbe_14,0.6,0.3,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
15,dbe_15,0.4,0.2,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
16,dbe_16,0.3,0.4,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
17,dbe_17,0.4,0.4,2024,d859d9aafac5209b34921d3efae74ed5bfaf0c08ab7d2aef3dfc8239d7f937ce
