dataset,model,scheme,bucket,n_items,mean_held_out_error,median_held_out_error,error_ci_lo,error_ci_hi
xes3g5m,gpt-4o-mini,quintile,"(0.099, 0.4]",1364,0.7916671768249017,0.8275862068965517,0.375,0.9708761282290693
xes3g5m,gpt-4o-mini,quintile,"(0.4, 0.6]",992,0.7564678113538476,0.7969530469530469,0.35289930555555554,0.9629629629629628
xes3g5m,gpt-4o-mini,quintile,"(0.6, 0.7]",808,0.7591773387680077,0.8038593063019053,0.3734608208955224,0.9696969696969696
xes3g5m,gpt-4o-mini,quintile,"(0.7, 0.9]",115,0.76603271788885,0.8214285714285714,0.2982013029931073,0.9480540540540541
xes3g5m,gpt-4o-mini,tercile,"(0.099, 0.4]",1364,0.7916671768249017,0.8275862068965517,0.375,0.9708761282290693
xes3g5m,gpt-4o-mini,tercile,"(0.4, 0.6]",992,0.7564678113538476,0.7969530469530469,0.35289930555555554,0.9629629629629628
xes3g5m,gpt-4o-mini,tercile,"(0.6, 0.9]",923,0.7600314759282427,0.8055555555555556,0.3596823574435515,0.9696795541623127
xes3g5m,gpt-4o-mini,easy_medium_hard,Easy,571,0.8154912138979532,0.8441558441558441,0.4763513513513513,0.974292546831407
xes3g5m,gpt-4o-mini,easy_medium_hard,Medium,1785,0.7644843781044548,0.8033898305084746,0.3547967479674796,0.963285024154589
xes3g5m,gpt-4o-mini,easy_medium_hard,Hard,923,0.7600314759282427,0.8055555555555556,0.3596823574435515,0.9696795541623127
xes3g5m,gpt-5.4,quintile,"(-0.001, 0.1]",734,0.8144561633402622,0.8461538461538461,0.48705608584810567,0.973279878130686
xes3g5m,gpt-5.4,quintile,"(0.1, 0.18]",799,0.7676056182419426,0.8135860979462876,0.3744981751824818,0.967741935483871
xes3g5m,gpt-5.4,quintile,"(0.18, 0.28]",717,0.7546262643255673,0.7971014492753623,0.3577766445690974,0.9666544963306436
xes3g5m,gpt-5.4,quintile,"(0.28, 0.42]",620,0.7470502911270157,0.7832535003684599,0.33698897973693565,0.9629629629629628
xes3g5m,gpt-5.4,quintile,"(0.42, 0.97]",409,0.773577568329352,0.8245614035087719,0.33153153153153153,0.970409982174688
xes3g5m,gpt-5.4,tercile,"(-0.001, 0.18]",1533,0.7900376470104791,0.8313253012048193,0.3954941860465116,0.9712698412698413
xes3g5m,gpt-5.4,tercile,"(0.18, 0.28]",717,0.7546262643255673,0.7971014492753623,0.3577766445690974,0.9666544963306436
xes3g5m,gpt-5.4,tercile,"(0.28, 0.97]",1029,0.7575941748741055,0.8,0.3307258289217052,0.9655172413793104
xes3g5m,gpt-5.4,easy_medium_hard,Easy,2432,0.7762762442633868,0.8168619191786232,0.375,0.9696969696969696
xes3g5m,gpt-5.4,easy_medium_hard,Medium,707,0.7593267561247968,0.8051948051948052,0.33254504504504506,0.9666666666666668
xes3g5m,gpt-5.4,easy_medium_hard,Hard,140,0.7643664836083045,0.8116627265563435,0.26982142857142855,0.96
junyi,gpt-4o-mini,quintile,"(0.099, 0.4]",51,0.7276045920456802,0.7673726467331119,0.4418184527943696,0.8787417601160294
junyi,gpt-4o-mini,quintile,"(0.4, 0.6]",46,0.6509273347799411,0.6581436478616691,0.41609769591252277,0.8394032346261726
junyi,gpt-4o-mini,quintile,"(0.6, 0.7]",49,0.708274071714457,0.7037647705413576,0.5077750124440019,0.9284012098192306
junyi,gpt-4o-mini,quintile,"(0.76, 1.0]",37,0.606281741952359,0.6608695652173913,0.30334553360869143,0.7939374542794442
junyi,gpt-4o-mini,tercile,"(0.099, 0.6]",97,0.6912421813835772,0.7102169981916817,0.4126201271578249,0.8782216231800868
junyi,gpt-4o-mini,tercile,"(0.6, 0.7]",49,0.708274071714457,0.7037647705413576,0.5077750124440019,0.9284012098192306
junyi,gpt-4o-mini,tercile,"(0.7, 1.0]",37,0.606281741952359,0.6608695652173913,0.30334553360869143,0.7939374542794442
junyi,gpt-4o-mini,easy_medium_hard,Easy,19,0.7467681833224467,0.7683168316831683,0.5607514067686827,0.8718715100222655
junyi,gpt-4o-mini,easy_medium_hard,Medium,78,0.6777166168087242,0.6947125021476432,0.4060843932887319,0.8783133088631871
junyi,gpt-4o-mini,easy_medium_hard,Hard,86,0.6643936507702984,0.6910945523784403,0.36188401048406976,0.9264406735167824
junyi,gpt-5.4,quintile,"(-0.001, 0.18]",58,0.7003288135020875,0.7312071491942242,0.41270556597135866,0.9010854400154074
junyi,gpt-5.4,quintile,"(0.18, 0.2]",25,0.7113229967661208,0.6991525423728814,0.5077036994845214,0.9123974420447144
junyi,gpt-5.4,quintile,"(0.2, 0.42]",33,0.6621907607674961,0.6588419405320813,0.4861295847010132,0.8333153347732181
junyi,gpt-5.4,quintile,"(0.42, 0.78]",31,0.6357535553052158,0.6787564766839378,0.32470439161783127,0.8146174222039015
junyi,gpt-5.4,quintile,"(0.78, 0.99]",36,0.6729317816219298,0.7108812598903983,0.29893919609920006,0.8915343763160584
junyi,gpt-5.4,tercile,"(-0.001, 0.2]",83,0.70364031448523,0.7301308338215192,0.4152414735745899,0.9157021622127142
junyi,gpt-5.4,tercile,"(0.2, 0.62]",54,0.6597289034672283,0.6832444093456864,0.44537021431805607,0.8580656047516197
junyi,gpt-5.4,tercile,"(0.62, 0.99]",46,0.6556704058901786,0.6878541289933695,0.31797462243826585,0.8804087350532033
junyi,gpt-5.4,easy_medium_hard,Easy,96,0.7044049734372676,0.7262241660234972,0.41895177037229886,0.9041264275976154
junyi,gpt-5.4,easy_medium_hard,Medium,41,0.644015352183579,0.6588419405320813,0.4388111888111888,0.8127090301003345
junyi,gpt-5.4,easy_medium_hard,Hard,46,0.6556704058901786,0.6878541289933695,0.31797462243826585,0.8804087350532033
