dataset,model,scheme,bucket,n_items,mean_held_out_error,median_held_out_error,error_ci_lo,error_ci_hi
xes3g5m,gpt-4o-mini,quintile,"(0.099, 0.4]",1364,0.2083328231750982,0.1724137931034483,0.029123871770930593,0.625
xes3g5m,gpt-4o-mini,quintile,"(0.4, 0.6]",992,0.24353218864615245,0.20304695304695303,0.037037037037037035,0.6471006944444447
xes3g5m,gpt-4o-mini,quintile,"(0.6, 0.7]",808,0.24082266123199222,0.19614069369809478,0.030303030303030304,0.6265391791044775
xes3g5m,gpt-4o-mini,quintile,"(0.7, 0.9]",115,0.2339672821111501,0.17857142857142858,0.05194594594594595,0.7017986970068923
xes3g5m,gpt-4o-mini,tercile,"(0.099, 0.4]",1364,0.2083328231750982,0.1724137931034483,0.029123871770930593,0.625
xes3g5m,gpt-4o-mini,tercile,"(0.4, 0.6]",992,0.24353218864615245,0.20304695304695303,0.037037037037037035,0.6471006944444447
xes3g5m,gpt-4o-mini,tercile,"(0.6, 0.9]",923,0.23996852407175726,0.19444444444444445,0.03032044583768722,0.6403176425564476
xes3g5m,gpt-4o-mini,easy_medium_hard,Easy,571,0.18450878610204682,0.15584415584415584,0.025707453168593065,0.5236486486486487
xes3g5m,gpt-4o-mini,easy_medium_hard,Medium,1785,0.2355156218955453,0.19661016949152543,0.03671497584541063,0.64520325203252
xes3g5m,gpt-4o-mini,easy_medium_hard,Hard,923,0.23996852407175726,0.19444444444444445,0.03032044583768722,0.6403176425564476
xes3g5m,gpt-5.4,quintile,"(-0.001, 0.1]",734,0.18554383665973784,0.15384615384615385,0.02672012186931409,0.512943914151894
xes3g5m,gpt-5.4,quintile,"(0.1, 0.18]",799,0.23239438175805735,0.18641390205371247,0.03225806451612903,0.6255018248175178
xes3g5m,gpt-5.4,quintile,"(0.18, 0.28]",717,0.24537373567443282,0.2028985507246377,0.03334550366935631,0.6422233554309027
xes3g5m,gpt-5.4,quintile,"(0.28, 0.42]",620,0.25294970887298435,0.21674649963154016,0.037037037037037035,0.663011020263064
xes3g5m,gpt-5.4,quintile,"(0.42, 0.97]",409,0.22642243167064818,0.17543859649122806,0.029590017825311943,0.6684684684684685
xes3g5m,gpt-5.4,tercile,"(-0.001, 0.18]",1533,0.2099623529895208,0.1686746987951807,0.02873015873015873,0.6045058139534883
xes3g5m,gpt-5.4,tercile,"(0.18, 0.28]",717,0.24537373567443282,0.2028985507246377,0.03334550366935631,0.6422233554309027
xes3g5m,gpt-5.4,tercile,"(0.28, 0.97]",1029,0.24240582512589445,0.2,0.034482758620689655,0.6692741710782948
xes3g5m,gpt-5.4,easy_medium_hard,Easy,2432,0.22372375573661313,0.18313808082137686,0.030303030303030304,0.625
xes3g5m,gpt-5.4,easy_medium_hard,Medium,707,0.24067324387520322,0.19480519480519481,0.03333333333333333,0.667454954954955
xes3g5m,gpt-5.4,easy_medium_hard,Hard,140,0.2356335163916954,0.18833727344365642,0.04,0.7301785714285723
junyi,gpt-4o-mini,quintile,"(0.099, 0.4]",51,0.2723954079543199,0.23262735326688816,0.12125823988397054,0.5581815472056304
junyi,gpt-4o-mini,quintile,"(0.4, 0.6]",46,0.349072665220059,0.3418563521383309,0.16059676537382742,0.5839023040874772
junyi,gpt-4o-mini,quintile,"(0.6, 0.7]",49,0.2917259282855431,0.2962352294586425,0.07159879018076949,0.49222498755599786
junyi,gpt-4o-mini,quintile,"(0.76, 1.0]",37,0.39371825804764116,0.3391304347826087,0.206062545720556,0.6966544663913087
junyi,gpt-4o-mini,tercile,"(0.099, 0.6]",97,0.30875781861642293,0.2897830018083183,0.12177837681991323,0.5873798728421751
junyi,gpt-4o-mini,tercile,"(0.6, 0.7]",49,0.2917259282855431,0.2962352294586425,0.07159879018076949,0.49222498755599786
junyi,gpt-4o-mini,tercile,"(0.7, 1.0]",37,0.39371825804764116,0.3391304347826087,0.206062545720556,0.6966544663913087
junyi,gpt-4o-mini,easy_medium_hard,Easy,19,0.2532318166775534,0.2316831683168317,0.12812848997773454,0.4392485932313174
junyi,gpt-4o-mini,easy_medium_hard,Medium,78,0.3222833831912757,0.30528749785235665,0.12168669113681284,0.5939156067112683
junyi,gpt-4o-mini,easy_medium_hard,Hard,86,0.3356063492297015,0.3089054476215597,0.07355932648321774,0.6381159895159303
junyi,gpt-5.4,quintile,"(-0.001, 0.18]",58,0.2996711864979123,0.26879285080577586,0.09891455998459249,0.5872944340286413
junyi,gpt-5.4,quintile,"(0.18, 0.2]",25,0.28867700323387924,0.3008474576271186,0.08760255795528554,0.49229630051547846
junyi,gpt-5.4,quintile,"(0.2, 0.42]",33,0.3378092392325038,0.3411580594679186,0.16668466522678185,0.5138704152989867
junyi,gpt-5.4,quintile,"(0.42, 0.78]",31,0.364246444694784,0.32124352331606215,0.18538257779609846,0.6752956083821687
junyi,gpt-5.4,quintile,"(0.78, 0.99]",36,0.3270682183780702,0.2891187401096017,0.10846562368394155,0.7010608039008
junyi,gpt-5.4,tercile,"(-0.001, 0.2]",83,0.2963596855147699,0.2698691661784808,0.08429783778728606,0.58475852642541
junyi,gpt-5.4,tercile,"(0.2, 0.62]",54,0.34027109653277166,0.3167555906543136,0.14193439524838014,0.5546297856819439
junyi,gpt-5.4,tercile,"(0.62, 0.99]",46,0.34432959410982145,0.3121458710066305,0.11959126494679673,0.6820253775617341
junyi,gpt-5.4,easy_medium_hard,Easy,96,0.29559502656273234,0.27377583397650285,0.09587357240238464,0.5810482296277011
junyi,gpt-5.4,easy_medium_hard,Medium,41,0.3559846478164211,0.3411580594679186,0.18729096989966554,0.5611888111888111
junyi,gpt-5.4,easy_medium_hard,Hard,46,0.34432959410982145,0.3121458710066305,0.11959126494679673,0.6820253775617341
