dataset,item_id_hash,reference_scope,split_source,raw_error_rate,smoothed_error_beta_1_1,smoothed_error_beta_2_2,smoothed_error_eb,n_responses,n_students,first_attempt_error_rate,eb_prior_alpha,eb_prior_beta,rasch_item_difficulty,rasch_se,identifiable,perfect_score,zero_score
xes3g5m,1991a3729e73546c568070424d1533aa2b4410cad25ee7c04461671ae92179f8,deployable_train,train,0.0,0.6666666666666666,0.6,0.8263489637444096,1,1,0.0,2.4059897651165487,0.7157432006792721,,,False,False,False
xes3g5m,cb445419d15b3a8ccacb711a535e768fad0c14230a87d3b3ca970cb00b623396,deployable_train,train,0.1836734693877551,0.8156108597285068,0.8148984198645598,0.8161656898249868,882,877,0.1836734693877551,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,cecfe1e8b166a6c6d6866c7e29f34a27a222ebd67cdee20a47f73a0cab6d0757,deployable_train,train,0.10597826086956522,0.8918918918918919,0.8897849462365591,0.8929845932672995,368,368,0.10597826086956522,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,79d0229ee2146b31b84e40369f5c81726250f6efc318138952976e7f01e5fb3a,deployable_train,train,0.13846153846153847,0.8507462686567164,0.8405797101449275,0.857376746337948,65,65,0.13846153846153847,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,02a1a029ef9e214d69287addc52779d47b907687489f46b4674a92d3cfefee74,deployable_train,train,0.04411764705882353,0.9428571428571428,0.9305555555555556,0.9477551650426422,68,68,0.04411764705882353,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,d1b9db0c014ea5f0446fc8ba63dbb220723b6497a818f56225dae8d6e1e94c63,deployable_train,train,0.10135135135135136,0.8933333333333333,0.8881578947368421,0.8960060681395422,148,147,0.10135135135135136,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,90adb95e8d407b8708f6ca77aa41478bd64c343dc8e7db09b14731cb91704cab,deployable_train,train,0.09523809523809523,0.8695652173913043,0.84,0.8874150872770978,21,21,0.09523809523809523,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,2dbb67f1b5f7d84abd007a64ae3cc02bd64ff94b64aa082022f9e9c3066923a2,deployable_train,train,0.125,0.8333333333333334,0.8,0.8579760942411923,16,16,0.125,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,c2e66c9945251f34e2f565a50e9bba847267e754f3e37d553d4d5a113e708b12,deployable_train,train,0.2318840579710145,0.7642857142857142,0.7605633802816901,0.7681736008116574,138,138,0.2318840579710145,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,b38d6b386a4ff71230108cb7ca6bbc0e27e3c99a1807f94f3ede475b9d6a2642,deployable_train,train,1.0,0.3333333333333333,0.4,0.5837325671222862,1,1,1.0,2.4059897651165487,0.7157432006792721,,,False,False,False
xes3g5m,bf83618912ccbe88c037081d960b02c0966c3a043bd73eb1e809c970559d42f0,deployable_train,train,0.3622603430877901,0.6374622356495468,0.6371859296482412,0.6381572484815038,991,991,0.3622603430877901,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,298a736c8ddef8dbc0967f977f899fddca4bf2e6502889bf4e48d9608547cb7a,deployable_train,train,0.1320754716981132,0.8666666666666667,0.8654173764906303,0.8674068221162266,583,583,0.1320754716981132,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,bc5820223dbaa78846690524882d14395ccdf8ab2867a5a68018dda94c2b8e13,deployable_train,train,0.296969696969697,0.7005988023952096,0.6982248520710059,0.7042872309031344,165,163,0.296969696969697,2.4059897651165487,0.7157432006792721,,,True,False,False
xes3g5m,b82167f6a6243c4cddff4a29d6cfd0a72d95c2905127e0a3786a8efccd018742,deployable_train,train,0.11717171717171718,0.8812877263581489,0.8797595190380761,0.8821257148306133,495,495,0.11717171717171718,2.4059897651165487,0.7157432006792721,,,True,False,False
