dataset,outcome,model_spec,n_items,oof_r2,oof_rmse,oof_mae,incremental_r2_vs_A
xes3g5m,test_smoothed_error,A_surface_only,3279,0.014049438213589505,0.16029942737891964,0.12450367252236023,0.0
xes3g5m,test_smoothed_error,B_surface_gpt4o_scalar,3279,0.023310793510883387,0.15954477862227207,0.12386487507271926,0.009261355297293883
xes3g5m,test_smoothed_error,C_surface_gpt54_scalar,3279,0.015180263527108218,0.1602074741595186,0.12457587830309068,0.001130825313518713
xes3g5m,test_smoothed_error,D_surface_both_scalar,3279,0.021808553956897625,0.15966742889107866,0.12400312471186353,0.00775911574330812
xes3g5m,test_raw_error,A_surface_only,3279,0.007061871222838412,0.16644485800351122,0.1288738272350666,0.0
xes3g5m,test_raw_error,B_surface_gpt4o_scalar,3279,0.01596741980017158,0.16569676438109993,0.12822430739397686,0.008905548577333167
xes3g5m,test_raw_error,C_surface_gpt54_scalar,3279,0.007878616025069562,0.16637638901471458,0.128946849769699,0.0008167448022311508
xes3g5m,test_raw_error,D_surface_both_scalar,3279,0.014411098779525955,0.1658277435174224,0.12835893669807938,0.007349227556687543
xes3g5m,oracle_smoothed_error,A_surface_only,3279,0.00909293420387891,0.15518490819471337,0.12016597593967956,0.0
xes3g5m,oracle_smoothed_error,B_surface_gpt4o_scalar,3279,0.017914758046457258,0.15449257557545215,0.11965837852224367,0.008821823842578347
xes3g5m,oracle_smoothed_error,C_surface_gpt54_scalar,3279,0.01106070460771058,0.15503074640048614,0.12029366110900493,0.00196777040383167
xes3g5m,oracle_smoothed_error,D_surface_both_scalar,3279,0.016593348167946664,0.15459647663308854,0.119841313386338,0.007500413964067754
junyi,test_smoothed_error,A_surface_only,183,-0.10644780224248684,0.14409911415521187,0.11153564190733288,0.0
junyi,test_smoothed_error,B_surface_gpt4o_scalar,183,-0.07949708760117868,0.14233332119240416,0.10990220594051048,0.02695071464130816
junyi,test_smoothed_error,C_surface_gpt54_scalar,183,-0.11329288939835758,0.14454416458487232,0.11211551087519711,-0.006845087155870733
junyi,test_smoothed_error,D_surface_both_scalar,183,-0.10066451760294992,0.14372202540952345,0.11100885529139957,0.005783284639536923
junyi,test_raw_error,A_surface_only,183,-0.11171262551777916,0.1447245867445245,0.11200786826355563,0.0
junyi,test_raw_error,B_surface_gpt4o_scalar,183,-0.0842411289156828,0.14292525901644365,0.11031572395548185,0.027471496602096357
junyi,test_raw_error,C_surface_gpt54_scalar,183,-0.11899693199192085,0.14519795412313746,0.11260929117210598,-0.0072843064741416885
junyi,test_raw_error,D_surface_both_scalar,183,-0.10580101195986535,0.14433928202914453,0.1114286984101051,0.0059116135579138085
junyi,oracle_smoothed_error,A_surface_only,183,-0.28218784933726937,0.14257285057018407,0.10886944940192812,0.0
junyi,oracle_smoothed_error,B_surface_gpt4o_scalar,183,-0.2421041498402099,0.14032660259613305,0.10707214366953736,0.04008369949705948
junyi,oracle_smoothed_error,C_surface_gpt54_scalar,183,-0.31707769129570673,0.14449961875256123,0.10981751855868356,-0.03488984195843736
junyi,oracle_smoothed_error,D_surface_both_scalar,183,-0.28585693948627977,0.14277669704378035,0.10852800632633947,-0.003669090149010401
