dataset,model,reference,n_items,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,kendall_tau,p_value_spearman,threshold,p_value_spearman_holm
xes3g5m,gpt-4o-mini,test_raw_error,3279,0.1118663282082734,0.07937256271606964,0.14257277025641432,0.09633995132018906,0.06399538262803015,0.12698080941068735,0.0715293716452988,2.7306550771940045e-08,20,1.9114585540358032e-07
xes3g5m,gpt-4o-mini,test_smoothed_error,3279,-0.1185904119567031,-0.14946794244119233,-0.08566621346860921,-0.10709592942545954,-0.13792431141882242,-0.07479345640788762,-0.07916418492253909,7.609234512587504e-10,20,7.609234512587504e-09
xes3g5m,gpt-4o-mini,oracle_smoothed_error,3279,-0.11863952325902706,-0.14769540547706975,-0.08750682241201986,-0.1024541946690585,-0.13430060373278127,-0.07052304714925599,-0.07594703481075184,3.5208881543901387e-09,20,2.9709347389651623e-08
xes3g5m,gpt-5.4,test_raw_error,3279,0.06884154570605973,0.03773481612262923,0.10386865394151204,0.10246705524640908,0.07050276237765862,0.13799927808492732,0.07243139526999183,3.3010385988501805e-09,20,2.9709347389651623e-08
xes3g5m,gpt-5.4,test_smoothed_error,3279,-0.07783066114557288,-0.11234756714623238,-0.04716818531395206,-0.11482425577989072,-0.1493102290675874,-0.08337210710586349,-0.08063096515062544,4.473909033164933e-11,20,4.921299936481427e-10
xes3g5m,gpt-5.4,oracle_smoothed_error,3279,-0.08436330661815734,-0.12081834058186645,-0.05221122606609928,-0.11746208237010604,-0.15101934954208565,-0.08679644473384393,-0.082812111784726,1.301634417981977e-11,20,1.5619613015783724e-10
junyi,gpt-4o-mini,test_raw_error,183,0.23443376041703085,0.08817396384522788,0.3639548155211199,0.23496920635351318,0.07968084733452314,0.36542464000917496,0.17275247982343284,0.001396997692632799,20,0.008099372649424058
junyi,gpt-4o-mini,test_smoothed_error,183,-0.23515259081640233,-0.3650405064360772,-0.08906082143440985,-0.23587472939759976,-0.3653773393994191,-0.08032284016641046,-0.17328690358158733,0.0013498954415706763,20,0.008099372649424058
junyi,gpt-4o-mini,oracle_smoothed_error,183,-0.23026008752555654,-0.35457219998602224,-0.08692925476755439,-0.22610229265190385,-0.3579174726870688,-0.06378315826115616,-0.1648697293906544,0.0022924596092767755,20,0.009169838437107102
junyi,gpt-5.4,test_raw_error,183,0.1558515625817224,-0.008086154404708902,0.29423205639113587,0.1733493135172422,0.020753128677574586,0.3182226651777121,0.11982688601070782,0.02000577871503569,20,0.05924610671618416
junyi,gpt-5.4,test_smoothed_error,183,-0.15604421615283237,-0.29438773932031165,0.008139921713779292,-0.17359901281479165,-0.3184052216957311,-0.021728660197324088,-0.12007665544481039,0.019748702238728055,20,0.05924610671618416
junyi,gpt-5.4,oracle_smoothed_error,183,-0.14657934387988808,-0.2882153209919542,0.014444204460389784,-0.16847132960212294,-0.31526566680441587,-0.013383602238558993,-0.11483149732865641,0.025796455898273177,20,0.05924610671618416
