dataset,model,reference,n_items,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_ci_lo,spearman_ci_hi,kendall_tau,p_value_spearman,threshold,p_value_spearman_holm
xes3g5m,gpt-4o-mini,test_raw_error,3279,0.1118663282082734,0.07937256271606964,0.14257277025641432,0.09633995132018906,0.06399538262803015,0.12698080941068735,0.0715293716452988,3.24957742665011e-08,20,2.2747041986550768e-07
xes3g5m,gpt-4o-mini,test_smoothed_error,3279,0.1185904119567031,0.08566621346860921,0.14946794244119233,0.10709592942545954,0.0747934564078876,0.1379243114188224,0.07916418492253909,7.849749206152202e-10,20,7.849749206152202e-09
xes3g5m,gpt-4o-mini,oracle_smoothed_error,3279,0.11863952325902705,0.08750682241201989,0.14769540547706977,0.1024541946690585,0.07052304714925599,0.13430060373278127,0.07594703481075184,4.101915119002594e-09,20,3.675210573996717e-08
xes3g5m,gpt-5.4,test_raw_error,3279,0.06884154570605971,0.037734816122629224,0.10386865394151204,0.10246705524640908,0.07050276237765862,0.13799927808492732,0.07243139526999183,4.083567304440797e-09,20,3.675210573996717e-08
xes3g5m,gpt-5.4,test_smoothed_error,3279,0.07783066114557288,0.04716818531395203,0.11234756714623235,0.11482425577989072,0.08337210710586346,0.14931022906758737,0.08063096515062544,4.268521548494903e-11,20,4.695373703344393e-10
xes3g5m,gpt-5.4,oracle_smoothed_error,3279,0.08436330661815736,0.052211226066099285,0.12081834058186645,0.11746208237010604,0.08679644473384393,0.15101934954208565,0.082812111784726,1.509522761423524e-11,20,1.811427313708229e-10
junyi,gpt-4o-mini,test_raw_error,183,0.2344337604170308,0.0881739638452279,0.36395481552111986,0.23496920635351318,0.07968084733452314,0.36542464000917496,0.17275247982343284,0.001365854543464981,20,0.007841146017357541
junyi,gpt-4o-mini,test_smoothed_error,183,0.23515259081640227,0.08906082143440978,0.3650405064360771,0.23587472939759976,0.08032284016641043,0.3653773393994189,0.17328690358158733,0.00130685766955959,20,0.007841146017357541
junyi,gpt-4o-mini,oracle_smoothed_error,183,0.23026008752555654,0.08692925476755439,0.35457219998602224,0.22610229265190385,0.06378315826115616,0.35791747268706875,0.1648697293906544,0.0020863820044763654,20,0.008345528017905461
junyi,gpt-5.4,test_raw_error,183,0.15585156258172234,-0.008086154404708864,0.2942320563911359,0.1733493135172422,0.020753128677574586,0.3182226651777121,0.11982688601070782,0.018937818356518574,20,0.05629219919327266
junyi,gpt-5.4,test_smoothed_error,183,0.15604421615283232,-0.00813992171377935,0.29438773932031154,0.17359901281479165,0.021728660197324053,0.318405221695731,0.12007665544481039,0.018764066397757555,20,0.05629219919327266
junyi,gpt-5.4,oracle_smoothed_error,183,0.14657934387988814,-0.014444204460389859,0.2882153209919541,0.16847132960212294,0.013383602238558957,0.3152656668044158,0.11483149732865641,0.02262303855990145,20,0.05629219919327266
