dataset,model,criterion,n_items,min_item_records,median_item_records,spearman_rho,spearman_ci_lo,spearman_ci_hi
xes3g5m,gpt-4o-mini,response_level_error,3279,20,89.0,0.10709592942545954,0.0747934564078876,0.1379243114188224
xes3g5m,gpt-4o-mini,first_attempt_error,3279,13,88.0,0.10201836961015848,0.07046475632150905,0.13324252420314103
xes3g5m,gpt-4o-mini,student_weighted_error,3279,13,88.0,0.10521586501223877,0.07330553209921939,0.13598998642407967
xes3g5m,gpt-5.4,response_level_error,3279,20,89.0,0.11482425577989072,0.08337210710586346,0.14931022906758737
xes3g5m,gpt-5.4,first_attempt_error,3279,13,88.0,0.10962838359551184,0.07877656496765671,0.1443911992908076
xes3g5m,gpt-5.4,student_weighted_error,3279,13,88.0,0.11264788853256252,0.08126739834939053,0.1473282115305888
junyi,gpt-4o-mini,response_level_error,183,59,1931.0,0.23587472939759976,0.08032284016641043,0.3653773393994189
junyi,gpt-4o-mini,first_attempt_error,183,6,175.0,0.21396231491052742,0.06592521606577638,0.34609741295857127
junyi,gpt-4o-mini,student_weighted_error,183,6,175.0,0.2150156454705424,0.06178337931222401,0.3558335902200488
junyi,gpt-5.4,response_level_error,183,59,1931.0,0.17359901281479165,0.021728660197324053,0.318405221695731
junyi,gpt-5.4,first_attempt_error,183,6,175.0,0.09383917897797202,-0.05275919625952913,0.23271129174977104
junyi,gpt-5.4,student_weighted_error,183,6,175.0,0.1411341718609628,-0.0006091568419894621,0.2797941898978226
