dataset,item_id_hash,model,cache_key,reconciliation_class,retry_count,paid_api_calls_for_item_model,parse_status,scalar_difficulty,pilot_cache_import,cache_hit,primary_table_eligible
junyi,4f5def24ebb14878cc0cf2df61cd7901770e5a739dcd923c76d69824b1a36312,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.6,False,False,True
junyi,4f5def24ebb14878cc0cf2df61cd7901770e5a739dcd923c76d69824b1a36312,gpt-5.4,,new_primary_first_pass,0,1,valid,0.42,False,False,True
junyi,0195a73c8f53f8576b1cb6efa7721aebea3aad0d4c0ba69b9db28272d9a02229,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.7,False,False,True
junyi,0195a73c8f53f8576b1cb6efa7721aebea3aad0d4c0ba69b9db28272d9a02229,gpt-5.4,,new_primary_first_pass,0,1,valid,0.62,False,False,True
junyi,efd218bd011182bd789bbbbdb9b67f864f4def9b0b0de8156250131ed2eaf6ec,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.6,False,False,True
junyi,efd218bd011182bd789bbbbdb9b67f864f4def9b0b0de8156250131ed2eaf6ec,gpt-5.4,,new_primary_first_pass,0,1,valid,0.18,False,False,True
junyi,552178242e404ad03263af62c55742ad2470653482f3f8155edb0e9aec3764e0,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.6,False,False,True
junyi,552178242e404ad03263af62c55742ad2470653482f3f8155edb0e9aec3764e0,gpt-5.4,,new_primary_first_pass,0,1,valid,0.2,False,False,True
junyi,938d51b968c5095848b0d033c816a51bc109b31408eb44bb9c4d9f9104533152,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.7,False,False,True
junyi,938d51b968c5095848b0d033c816a51bc109b31408eb44bb9c4d9f9104533152,gpt-5.4,,new_primary_first_pass,0,1,valid,0.34,False,False,True
junyi,37c167957663405a7d4c1adcd6003f79d172e8dc8784670a69649610a324c107,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.7,False,False,True
junyi,37c167957663405a7d4c1adcd6003f79d172e8dc8784670a69649610a324c107,gpt-5.4,,new_primary_first_pass,0,1,valid,0.1,False,False,True
junyi,a15bf45fda79ac7a026886cc0168393e99fdadc1f3de48dcdafe6b0b809a1c05,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.7,False,False,True
junyi,a15bf45fda79ac7a026886cc0168393e99fdadc1f3de48dcdafe6b0b809a1c05,gpt-5.4,,new_primary_first_pass,0,1,valid,0.42,False,False,True
junyi,170a12b2043f4fab81fc6937e7332d013d691bd0d69b9e821a37ef8479e58dbd,gpt-4o-mini,,new_primary_first_pass,0,1,valid,0.4,False,False,True
