metric,value
interacted_exercises_total,722.0
math_domain_exercises,715.0
non_math_exercises_excluded,7.0
html_files_in_content_layer,967.0
html_extra_not_in_log,284.0
interacted_with_html_match,683.0
math_interacted_with_html,679.0
math_missing_html,36.0
eligible_for_llm_and_kt,666.0
item_coverage_math_pct,94.97
response_coverage_all_pct,99.44
response_coverage_math_pct,99.62
response_coverage_eligible_pct,94.07
duplicate_slug_html_files,0.0
html_with_dynamic_vars,676.0
html_with_image_or_graphie_dep,449.0
html_with_latex,574.0
html_intelligible,670.0
stem_from_question_div,655.0
stem_from_title_fallback,28.0
graphie_only_no_question_text,21.0
