dataset,condition,exposure,n_seeds,mean_log_loss,mean_diff_vs_standard
xes3g5m,LLM-Mini,1,5,0.5557598382971707,-0.00048142700396798245
xes3g5m,LLM-Mini,5,5,0.5323227325300997,0.0010745729961892936
xes3g5m,LLM-Mini,20,5,0.4951788570519464,-0.002262401949312287
xes3g5m,LLM-Mini,warm,5,0.4468133909249925,8.515708052743154e-05
xes3g5m,LLM-5.4,1,5,0.5564454525816491,0.00020418728051052604
xes3g5m,LLM-5.4,5,5,0.5320163260977658,0.0007681665638555213
xes3g5m,LLM-5.4,20,5,0.49534059428940463,-0.0021006647118540166
xes3g5m,LLM-5.4,warm,5,0.4468440541982286,0.0001158203537635405
xes3g5m,Random-Scalar,1,5,0.5556127542449082,-0.000628511056230363
xes3g5m,Random-Scalar,5,5,0.5321711461611546,0.0009229866272444154
xes3g5m,Random-Scalar,20,5,0.4949040243011667,-0.0025372347000919503
xes3g5m,Random-Scalar,warm,5,0.4468701938067047,0.00014195996223959062
xes3g5m,CharacterLength,1,5,0.5568747595040067,0.0006334942028681345
xes3g5m,CharacterLength,5,5,0.5319824852525243,0.0007343257186141594
xes3g5m,CharacterLength,20,5,0.49542905161655837,-0.002012207384700293
xes3g5m,CharacterLength,warm,5,0.44687777905459203,0.00014954521012698895
xes3g5m,TrainEmpDiff,1,5,0.5563905602825217,0.00014929498138303022
xes3g5m,TrainEmpDiff,5,5,0.5286829563693201,-0.0025652031645902796
xes3g5m,TrainEmpDiff,20,5,0.4904118532357075,-0.007029405765551167
xes3g5m,TrainEmpDiff,warm,5,0.44641612321541535,-0.0003121106290497333
junyi,LLM-Mini,1,5,0.6620634192781487,0.004974737142993168
junyi,LLM-Mini,5,5,0.5832207671738375,0.0015616308461299689
junyi,LLM-Mini,20,5,0.5393598050353695,-0.0005452644750054692
junyi,LLM-Mini,warm,5,0.4675691797941619,0.000265507488531036
junyi,LLM-5.4,1,5,0.6635253092296586,0.0064366270945031
junyi,LLM-5.4,5,5,0.5836383787068863,0.0019792423791787474
junyi,LLM-5.4,20,5,0.5394561806366159,-0.00044888887375911236
junyi,LLM-5.4,warm,5,0.46757510193822843,0.00027142963259765287
junyi,Random-Scalar,1,5,0.6602846425275767,0.003195960392421182
junyi,Random-Scalar,5,5,0.5819342599344246,0.0002751236067169982
junyi,Random-Scalar,20,5,0.5390507641147705,-0.0008543053956045155
junyi,Random-Scalar,warm,5,0.4676093838157345,0.00030571151010369004
junyi,CharacterLength,1,5,0.6661624118115379,0.009073729676382314
junyi,CharacterLength,5,5,0.5846016339957711,0.002942497668063626
junyi,CharacterLength,20,5,0.539658645242058,-0.00024642426831693597
junyi,CharacterLength,warm,5,0.4675813912147798,0.0002777189091490606
junyi,TrainEmpDiff,1,5,0.6625816076466744,0.005492925511518809
junyi,TrainEmpDiff,5,5,0.584413534860141,0.002754398532433511
junyi,TrainEmpDiff,20,5,0.5396764383533246,-0.00022863115705040737
junyi,TrainEmpDiff,warm,5,0.46758365144100755,0.00027997913537685103
