run_id,dataset,exposure,condition,seed,brier,ece
pilot_xes3g5m_1_Standard_2024,xes3g5m,1,Standard,2024,0.1943653676826243,0.0753574869558215
pilot_xes3g5m_1_LLM-Mini_2024,xes3g5m,1,LLM-Mini,2024,0.1911445387956429,0.049029902194937
pilot_xes3g5m_1_LLM-5.4_2024,xes3g5m,1,LLM-5.4,2024,0.1912608459131556,0.0502775223255157
pilot_xes3g5m_1_Random-Scalar_2024,xes3g5m,1,Random-Scalar,2024,0.191048623226038,0.0486948689023653
pilot_xes3g5m_1_TrainEmpDiff_2024,xes3g5m,1,TrainEmpDiff,2024,0.1912146832331751,0.0499704935252666
pilot_xes3g5m_3_Standard_2024,xes3g5m,3,Standard,2024,0.1908970762813746,0.0489827459181349
pilot_xes3g5m_3_LLM-Mini_2024,xes3g5m,3,LLM-Mini,2024,0.18924501409356,0.0287967252284288
pilot_xes3g5m_3_LLM-5.4_2024,xes3g5m,3,LLM-5.4,2024,0.1892999078700674,0.0298900167594352
pilot_xes3g5m_3_Random-Scalar_2024,xes3g5m,3,Random-Scalar,2024,0.1891653825314727,0.0284801624119281
pilot_xes3g5m_3_TrainEmpDiff_2024,xes3g5m,3,TrainEmpDiff,2024,0.1893231299762369,0.0297270284071564
pilot_xes3g5m_5_Standard_2024,xes3g5m,5,Standard,2024,0.1905887270617173,0.0436018549129366
pilot_xes3g5m_5_LLM-Mini_2024,xes3g5m,5,LLM-Mini,2024,0.189175511607939,0.0208283257136742
pilot_xes3g5m_5_LLM-5.4_2024,xes3g5m,5,LLM-5.4,2024,0.1892105163217077,0.0218091545403003
pilot_xes3g5m_5_Random-Scalar_2024,xes3g5m,5,Random-Scalar,2024,0.1891041247242597,0.0205478927890459
pilot_xes3g5m_5_TrainEmpDiff_2024,xes3g5m,5,TrainEmpDiff,2024,0.1892304631191862,0.0220493093977372
pilot_xes3g5m_10_Standard_2024,xes3g5m,10,Standard,2024,0.1892537351426702,0.0335145999218026
pilot_xes3g5m_10_LLM-Mini_2024,xes3g5m,10,LLM-Mini,2024,0.1885029421927793,0.0152615447342395
pilot_xes3g5m_10_LLM-5.4_2024,xes3g5m,10,LLM-5.4,2024,0.1885199729662512,0.0161004166205724
pilot_xes3g5m_10_Random-Scalar_2024,xes3g5m,10,Random-Scalar,2024,0.1884379643497013,0.0149846897820631
pilot_xes3g5m_10_TrainEmpDiff_2024,xes3g5m,10,TrainEmpDiff,2024,0.188546819182805,0.0164543740202984
pilot_xes3g5m_20_Standard_2024,xes3g5m,20,Standard,2024,0.1890462102625499,0.0339158462857206
pilot_xes3g5m_20_LLM-Mini_2024,xes3g5m,20,LLM-Mini,2024,0.1879619417205536,0.0082106124311685
pilot_xes3g5m_20_LLM-5.4_2024,xes3g5m,20,LLM-5.4,2024,0.1879618042118865,0.0088946217695872
pilot_xes3g5m_20_Random-Scalar_2024,xes3g5m,20,Random-Scalar,2024,0.1879024754487036,0.0079330215553442
pilot_xes3g5m_20_TrainEmpDiff_2024,xes3g5m,20,TrainEmpDiff,2024,0.1879979117151616,0.0091446047524611
pilot_xes3g5m_warm_Standard_2024,xes3g5m,warm,Standard,2024,0.1878146230621516,0.0248768798286715
pilot_xes3g5m_warm_LLM-Mini_2024,xes3g5m,warm,LLM-Mini,2024,0.1884308722464262,0.0379199562321106
pilot_xes3g5m_warm_LLM-5.4_2024,xes3g5m,warm,LLM-5.4,2024,0.1884018399631054,0.0374253620555003
pilot_xes3g5m_warm_Random-Scalar_2024,xes3g5m,warm,Random-Scalar,2024,0.1883899096060895,0.0375780295530955
pilot_xes3g5m_warm_TrainEmpDiff_2024,xes3g5m,warm,TrainEmpDiff,2024,0.1884505774878832,0.0372608382006486
pilot_junyi_1_Standard_2024,junyi,1,Standard,2024,0.2209687339277955,0.1450651229352178
pilot_junyi_1_LLM-Mini_2024,junyi,1,LLM-Mini,2024,0.2238747322065429,0.153715724915637
pilot_junyi_1_LLM-5.4_2024,junyi,1,LLM-5.4,2024,0.2235929477829772,0.1526076465303911
pilot_junyi_1_Random-Scalar_2024,junyi,1,Random-Scalar,2024,0.2241289081855867,0.1543104884162821
pilot_junyi_1_TrainEmpDiff_2024,junyi,1,TrainEmpDiff,2024,0.2236094663037576,0.1531345739860336
pilot_junyi_3_Standard_2024,junyi,3,Standard,2024,0.2029965324504123,0.0673954361033814
pilot_junyi_3_LLM-Mini_2024,junyi,3,LLM-Mini,2024,0.2034154233225741,0.0727455605842268
pilot_junyi_3_LLM-5.4_2024,junyi,3,LLM-5.4,2024,0.2034784080116516,0.0731533895376093
pilot_junyi_3_Random-Scalar_2024,junyi,3,Random-Scalar,2024,0.2034284298203962,0.0727376772162623
pilot_junyi_3_TrainEmpDiff_2024,junyi,3,TrainEmpDiff,2024,0.2033850026393014,0.0730132528882298
pilot_junyi_5_Standard_2024,junyi,5,Standard,2024,0.1988684594287948,0.0610423681991875
pilot_junyi_5_LLM-Mini_2024,junyi,5,LLM-Mini,2024,0.2003262228053186,0.0688107113063736
pilot_junyi_5_LLM-5.4_2024,junyi,5,LLM-5.4,2024,0.2003272039051225,0.0693322875455456
pilot_junyi_5_Random-Scalar_2024,junyi,5,Random-Scalar,2024,0.200351346249424,0.0688624571012346
pilot_junyi_5_TrainEmpDiff_2024,junyi,5,TrainEmpDiff,2024,0.2002373705378454,0.0689336123380873
pilot_junyi_10_Standard_2024,junyi,10,Standard,2024,0.200240823146177,0.0869631677336946
