dataset,exposure,condition,n_runs
junyi,0,LLM-5.4,5
junyi,0,LLM-Mini,5
junyi,0,Random-Scalar,5
junyi,0,Standard,5
junyi,0,TrainEmpDiff,5
junyi,1,LLM-5.4,6
junyi,1,LLM-Mini,6
junyi,1,Random-Scalar,6
junyi,1,Standard,6
junyi,1,TrainEmpDiff,6
junyi,10,LLM-5.4,6
junyi,10,LLM-Mini,6
junyi,10,Random-Scalar,6
junyi,10,Standard,6
junyi,10,TrainEmpDiff,6
junyi,20,LLM-5.4,6
junyi,20,LLM-Mini,6
junyi,20,Random-Scalar,6
junyi,20,Standard,6
junyi,20,TrainEmpDiff,6
junyi,3,LLM-5.4,6
junyi,3,LLM-Mini,6
junyi,3,Random-Scalar,6
junyi,3,Standard,6
junyi,3,TrainEmpDiff,6
junyi,5,LLM-5.4,6
junyi,5,LLM-Mini,6
junyi,5,Random-Scalar,6
junyi,5,Standard,6
junyi,5,TrainEmpDiff,6
junyi,warm,LLM-5.4,6
junyi,warm,LLM-Mini,6
junyi,warm,Random-Scalar,6
junyi,warm,Standard,6
junyi,warm,TrainEmpDiff,6
xes3g5m,0,LLM-5.4,5
xes3g5m,0,LLM-Mini,5
xes3g5m,0,Random-Scalar,5
xes3g5m,0,Standard,5
xes3g5m,0,TrainEmpDiff,5
xes3g5m,1,LLM-5.4,6
xes3g5m,1,LLM-Mini,6
xes3g5m,1,Random-Scalar,6
xes3g5m,1,Standard,6
xes3g5m,1,TrainEmpDiff,6
xes3g5m,10,LLM-5.4,6
xes3g5m,10,LLM-Mini,6
xes3g5m,10,Random-Scalar,6
xes3g5m,10,Standard,6
xes3g5m,10,TrainEmpDiff,6
xes3g5m,20,LLM-5.4,6
xes3g5m,20,LLM-Mini,6
xes3g5m,20,Random-Scalar,6
xes3g5m,20,Standard,6
xes3g5m,20,TrainEmpDiff,6
xes3g5m,3,LLM-5.4,6
xes3g5m,3,LLM-Mini,6
xes3g5m,3,Random-Scalar,6
xes3g5m,3,Standard,6
xes3g5m,3,TrainEmpDiff,6
xes3g5m,5,LLM-5.4,6
xes3g5m,5,LLM-Mini,6
xes3g5m,5,Random-Scalar,6
xes3g5m,5,Standard,6
xes3g5m,5,TrainEmpDiff,6
xes3g5m,warm,LLM-5.4,6
xes3g5m,warm,LLM-Mini,6
xes3g5m,warm,Random-Scalar,6
xes3g5m,warm,Standard,6
xes3g5m,warm,TrainEmpDiff,6
