dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
xes3g5m,0,log_loss,LLM-Mini,Standard,0.0010358245476191686,-0.034629589393150466,0.036701238488388806,0.02545715650607273,5,0.9573358364016381,1.0
xes3g5m,0,auc,LLM-Mini,Standard,-0.0008407277956782977,-0.004856051624519129,0.0031745960331625335,-0.18352910683659604,5,0.7025540729744131,1.0
xes3g5m,0,brier,LLM-Mini,Standard,0.0005209396749645767,-0.017177730922580726,0.018219610272509876,0.025799877414139253,5,0.9567622431107942,1.0
xes3g5m,0,log_loss,LLM-5.4,Standard,0.002621607647919344,-0.038294891100893715,0.0435381063967324,0.056161695138478705,5,0.9061221319687757,1.0
xes3g5m,0,auc,LLM-5.4,Standard,-0.000878686954298391,-0.004437004566686224,0.002679630658089442,-0.2164509357618588,5,0.6536904340402284,1.0
xes3g5m,0,brier,LLM-5.4,Standard,0.0012997400095503208,-0.01899379363095455,0.02159327365005519,0.05613964909971131,5,0.9061587222277778,1.0
xes3g5m,0,log_loss,LLM-Mini,Random-Scalar,0.0004500158762789308,-0.00138990760034996,0.002289939352907822,0.21438632271096733,5,0.6566969305839374,1.0
xes3g5m,0,auc,LLM-Mini,Random-Scalar,-0.0010722092371102665,-0.006106419640843813,0.00396200116662328,-0.18668889903629826,5,0.6977825401662157,1.0
xes3g5m,0,brier,LLM-Mini,Random-Scalar,0.00022225501280312976,-0.000690504597708923,0.0011350146233151826,0.21343323607112877,5,0.6580863052740348,1.0
xes3g5m,0,log_loss,LLM-5.4,Random-Scalar,0.0020357989765791063,-0.006332687101561001,0.010404285054719213,0.2132350577047043,5,0.6583783920973183,1.0
xes3g5m,0,auc,LLM-5.4,Random-Scalar,-0.0011101683957303599,-0.005688493992193709,0.0034681572007329896,-0.2125457484809426,5,0.659385355287967,1.0
xes3g5m,0,brier,LLM-5.4,Random-Scalar,0.001001055347388874,-0.0031427469092461017,0.005144857604023849,0.21175282735852632,5,0.6605450063052066,1.0
xes3g5m,0,log_loss,LLM-Mini,TrainEmpDiff,0.001661517877966223,-0.005474816446416323,0.008797852202348768,0.204079962902246,5,0.6718266286756475,1.0
xes3g5m,0,auc,LLM-Mini,TrainEmpDiff,-0.0008407303080205097,-0.004856054112211631,0.0031745934961706114,-0.18352965640227833,5,0.7025532416142917,1.0
xes3g5m,0,brier,LLM-Mini,TrainEmpDiff,0.0008179924536822036,-0.002717809115793013,0.00435379402315742,0.2027829354093529,5,0.6737437500863205,1.0
xes3g5m,0,log_loss,LLM-5.4,TrainEmpDiff,0.0032473009782663987,-0.010417948525761778,0.016912550482294574,0.20829352437826826,5,0.6656184290327498,1.0
xes3g5m,0,auc,LLM-5.4,TrainEmpDiff,-0.0008786894666406031,-0.004437006982868695,0.002679628049587489,-0.21645156048784897,5,0.6536895252913326,1.0
xes3g5m,0,brier,LLM-5.4,TrainEmpDiff,0.0015967927882679478,-0.005170203068374436,0.008363788644910332,0.20683458466966406,5,0.6677642462267972,1.0
xes3g5m,1,log_loss,LLM-Mini,Standard,-0.00048142700396798245,-0.006389654732909786,0.00542680072497382,-0.0714239139173039,5,0.8808505582463991,1.0
xes3g5m,1,auc,LLM-Mini,Standard,-0.003382020627950322,-0.006447190143036153,-0.00031685111286449113,-0.9671449797371542,5,0.09660639137434567,1.0
xes3g5m,1,brier,LLM-Mini,Standard,-0.0004253734528847586,-0.002794037174681695,0.001943290268912178,-0.15741149228326648,5,0.7426112424309135,1.0
xes3g5m,1,log_loss,LLM-5.4,Standard,0.00020418728051052604,-0.006382198638522101,0.006790573199543153,0.027173901839414014,5,0.9544629402282196,1.0
xes3g5m,1,auc,LLM-5.4,Standard,-0.0027836515967361473,-0.005274472952179265,-0.00029283024129302983,-0.9795843499799445,5,0.09364764906239764,1.0
xes3g5m,1,brier,LLM-5.4,Standard,-0.00019896962378299077,-0.002794385695398492,0.0023964464478325107,-0.0671969237460554,5,0.8878338929647139,1.0
xes3g5m,1,log_loss,LLM-Mini,Random-Scalar,0.00014708405226238064,-0.0005766812403127813,0.0008708493448375426,0.17812859520676758,5,0.7107451639302488,1.0
xes3g5m,1,auc,LLM-Mini,Random-Scalar,-0.0030865833869368363,-0.007271323861967886,0.0010981570880942131,-0.6465165463830009,5,0.22179856040585286,1.0
xes3g5m,1,brier,LLM-Mini,Random-Scalar,8.72816771624596e-05,-0.00019981061310620038,0.0003743739674311196,0.2664767743504085,5,0.5833367771079249,1.0
xes3g5m,1,log_loss,LLM-5.4,Random-Scalar,0.0008326983367408891,-0.0007563590311190104,0.0024217557046007886,0.4593215211910017,5,0.3624317565631509,1.0
xes3g5m,1,auc,LLM-5.4,Random-Scalar,-0.002488214355722662,-0.0059524574739777125,0.0009760287625323878,-0.6295777901017322,5,0.2319566562938663,1.0
xes3g5m,1,brier,LLM-5.4,Random-Scalar,0.00031368550626422744,-0.00035456811357194415,0.000981939126100399,0.41145136308874625,5,0.4096131515526635,1.0
xes3g5m,1,log_loss,LLM-Mini,TrainEmpDiff,-0.0006307219853510127,-0.0014329077109463903,0.0001714637402443649,-0.6891747599881204,5,0.19815461866130138,1.0
xes3g5m,1,auc,LLM-Mini,TrainEmpDiff,-0.0004292299694996338,-0.0014608678935985433,0.0006024079545992758,-0.364695259170526,5,0.460564318855114,1.0
xes3g5m,1,brier,LLM-Mini,TrainEmpDiff,-0.00018258034096396147,-0.0003729358202260861,7.775138298163136e-06,-0.8406973975896732,5,0.13328998397630853,1.0
xes3g5m,1,log_loss,LLM-5.4,TrainEmpDiff,5.4892299127495826e-05,-0.0007157748723440031,0.0008255594705989948,0.06243249505619091,5,0.8957192984241124,1.0
xes3g5m,1,auc,LLM-5.4,TrainEmpDiff,0.00016913906171454052,-0.0008918364219828919,0.001230114545411973,0.13973527360896718,5,0.7703023888185325,1.0
xes3g5m,1,brier,LLM-5.4,TrainEmpDiff,4.3823488137806343e-05,-0.0002706660685673091,0.00035831304484292177,0.122140495858771,5,0.7982807320911076,1.0
xes3g5m,3,log_loss,LLM-Mini,Standard,0.0006789204057193521,-0.001763485701515083,0.0031213265129537873,0.24365228882408974,5,0.6148264907777677,1.0
xes3g5m,3,auc,LLM-Mini,Standard,-0.0025036731565384997,-0.005948981808439538,0.0009416354953625384,-0.6369707100429391,5,0.2274671125259425,1.0
