run_id,dataset,exposure,condition,seed,log_loss,auc,accuracy,n_predictions
pilot_xes3g5m_1_Standard_2024,xes3g5m,1,Standard,2024,0.577508602863134,0.5510527017525959,0.7453333333333333,12000.0
pilot_xes3g5m_1_LLM-Mini_2024,xes3g5m,1,LLM-Mini,2024,0.5701765502160309,0.5477897283617028,0.746,12000.0
pilot_xes3g5m_1_LLM-5.4_2024,xes3g5m,1,LLM-5.4,2024,0.5704472048127416,0.5479800845102136,0.746,12000.0
pilot_xes3g5m_1_Random-Scalar_2024,xes3g5m,1,Random-Scalar,2024,0.5699518243207345,0.5486330640054041,0.746,12000.0
pilot_xes3g5m_1_TrainEmpDiff_2024,xes3g5m,1,TrainEmpDiff,2024,0.570340194189648,0.5481416343566974,0.746,12000.0
pilot_xes3g5m_3_Standard_2024,xes3g5m,3,Standard,2024,0.5695997138069996,0.5550716756501282,0.746,12000.0
pilot_xes3g5m_3_LLM-Mini_2024,xes3g5m,3,LLM-Mini,2024,0.5657146491786798,0.5539016120387766,0.7460833333333333,12000.0
pilot_xes3g5m_3_LLM-5.4_2024,xes3g5m,3,LLM-5.4,2024,0.5658472329345392,0.5540980702856177,0.7460833333333333,12000.0
pilot_xes3g5m_3_Random-Scalar_2024,xes3g5m,3,Random-Scalar,2024,0.5655221228841456,0.5547292801327113,0.7460833333333333,12000.0
pilot_xes3g5m_3_TrainEmpDiff_2024,xes3g5m,3,TrainEmpDiff,2024,0.5659053489263086,0.5533897504392045,0.7460833333333333,12000.0
pilot_xes3g5m_5_Standard_2024,xes3g5m,5,Standard,2024,0.5687105148075249,0.5548516885917075,0.7458333333333333,12000.0
pilot_xes3g5m_5_LLM-Mini_2024,xes3g5m,5,LLM-Mini,2024,0.565421138676164,0.5516908199812826,0.746,12000.0
pilot_xes3g5m_5_LLM-5.4_2024,xes3g5m,5,LLM-5.4,2024,0.5655035929823633,0.5518422546377414,0.746,12000.0
pilot_xes3g5m_5_Random-Scalar_2024,xes3g5m,5,Random-Scalar,2024,0.565247664273086,0.5524377864504537,0.746,12000.0
pilot_xes3g5m_5_TrainEmpDiff_2024,xes3g5m,5,TrainEmpDiff,2024,0.5655538732555482,0.5516159272609356,0.746,12000.0
pilot_xes3g5m_10_Standard_2024,xes3g5m,10,Standard,2024,0.5655502491578123,0.5633310581485624,0.74575,12000.0
pilot_xes3g5m_10_LLM-Mini_2024,xes3g5m,10,LLM-Mini,2024,0.5637932431285013,0.5586130000129005,0.746,12000.0
pilot_xes3g5m_10_LLM-5.4_2024,xes3g5m,10,LLM-5.4,2024,0.5638354810585067,0.5587533482744952,0.746,12000.0
pilot_xes3g5m_10_Random-Scalar_2024,xes3g5m,10,Random-Scalar,2024,0.5636335423801507,0.5594005555145085,0.746,12000.0
pilot_xes3g5m_10_TrainEmpDiff_2024,xes3g5m,10,TrainEmpDiff,2024,0.5639049388263799,0.5584410234578587,0.746,12000.0
pilot_xes3g5m_20_Standard_2024,xes3g5m,20,Standard,2024,0.565108135459625,0.5682284226871105,0.7453333333333333,12000.0
pilot_xes3g5m_20_LLM-Mini_2024,xes3g5m,20,LLM-Mini,2024,0.5623980888120044,0.5676958176181396,0.746,12000.0
pilot_xes3g5m_20_LLM-5.4_2024,xes3g5m,20,LLM-5.4,2024,0.5623995964733073,0.5678393726881661,0.7459166666666667,12000.0
