dataset,model,feature,n_items,spearman_rho,ci_lo,ci_hi,p_value,p_value_holm
xes3g5m,gpt-4o-mini,char_length,3279,0.5994065411144538,0.5720575985305408,0.622876107820325,0.0,0.0
xes3g5m,gpt-4o-mini,token_length,3279,-0.25871618922594763,-0.2920861768937446,-0.22427726361520234,2.696971662204459e-51,4.045457493306689e-50
xes3g5m,gpt-4o-mini,math_symbol_count,3279,-0.258134173648173,-0.2905106652795849,-0.22412680475279445,4.5837579504429633e-51,6.417261130620149e-50
xes3g5m,gpt-4o-mini,equation_count,3279,0.3352519445703371,0.3038656703629732,0.36606255356059575,5.980128352424511e-87,9.568205363879218e-86
xes3g5m,gpt-4o-mini,answer_option_count,3279,-0.22110575686118725,-0.25413119572565435,-0.184135412027953,1.3483061854534869e-37,1.4831368039988355e-36
xes3g5m,gpt-5.4,char_length,3279,0.5238609418199248,0.4952805083906414,0.5499972075642409,1.404056142869265e-230,2.3868954428777504e-229
xes3g5m,gpt-5.4,token_length,3279,-0.18390436328006518,-0.21706347663127157,-0.15078283105566112,2.4710176261796566e-26,2.4710176261796564e-25
xes3g5m,gpt-5.4,math_symbol_count,3279,-0.2361593564181067,-0.2685445842215754,-0.20672862915971113,8.566043165566861e-43,1.0279251798680233e-41
xes3g5m,gpt-5.4,equation_count,3279,0.2401245537641827,0.2074098770744595,0.27738867057431726,3.1691257126571016e-44,4.119863426454232e-43
xes3g5m,gpt-5.4,answer_option_count,3279,-0.1433515820274627,-0.17340664366622333,-0.10895863020320475,1.608249566644462e-16,1.447424609980016e-15
junyi,gpt-4o-mini,char_length,183,0.5020534193755332,0.3837884474520649,0.6061333821930626,4.4672148418418213e-13,3.573771873473457e-12
junyi,gpt-4o-mini,token_length,183,0.4405698588388423,0.3134433687962649,0.5633795482368383,4.339991199589849e-10,3.037993839712894e-09
junyi,gpt-4o-mini,math_symbol_count,183,0.21781440550617975,0.07073728828312227,0.36590564045873153,0.0030565243889933216,0.015282621944966608
junyi,gpt-4o-mini,equation_count,183,0.14830223907392723,-0.020940845164423884,0.30112548739769623,0.045119191679668005,0.12448534101043432
junyi,gpt-5.4,char_length,183,0.25495397178982304,0.11609670514533789,0.40074514976578735,0.0004957167106511115,0.002974300263906669
junyi,gpt-5.4,token_length,183,0.16423180967432452,0.01032384471299492,0.3094818089710937,0.026312381188300035,0.10524952475320014
junyi,gpt-5.4,math_symbol_count,183,0.13525612956256802,-0.0022546254957487057,0.2848285625214308,0.0679148010361266,0.12448534101043432
junyi,gpt-5.4,equation_count,183,0.15086397993844458,0.002605196720960081,0.30527501811637586,0.04149511367014477,0.12448534101043432
