dataset,model,feature,feature_type,std_coef_mean,std_coef_sd,perm_importance_mean,perm_importance_sd
xes3g5m,gpt-4o-mini,char_length,numeric,0.10604845021350495,0.0008425719263907858,0.8028065198727852,0.05601773228181607
xes3g5m,gpt-4o-mini,token_length,numeric,-0.0203208969509239,0.004107191584851952,0.02459545669838162,0.019928109674999646
xes3g5m,gpt-4o-mini,math_symbol_count,numeric,-0.021892131009319766,0.0019655385103333443,0.033769226961275725,0.011711305930524442
xes3g5m,gpt-4o-mini,equation_count,numeric,-0.027216520893097024,0.0014970804802255592,0.05428033979177037,0.02279056721576415
xes3g5m,gpt-4o-mini,answer_option_count,numeric,-0.025213193923839684,0.0014173883505961785,0.045582507067017754,0.010421196233015267
xes3g5m,gpt-5.4,char_length,numeric,0.1104223005337042,0.002912375617760348,0.7499214318890944,0.06781320906072195
xes3g5m,gpt-5.4,token_length,numeric,-0.01822498956182257,0.0034469707701681443,0.017390797479588972,0.01234733202215776
xes3g5m,gpt-5.4,math_symbol_count,numeric,-0.02020382263711898,0.002211634495292707,0.02512836531514307,0.008200665686527846
xes3g5m,gpt-5.4,equation_count,numeric,-0.03552006360400109,0.001680793238683347,0.08082136557979872,0.011912212905645803
xes3g5m,gpt-5.4,answer_option_count,numeric,-0.008689059790497918,0.0008018044819689699,0.004698589260785284,0.001590807503011704
junyi,gpt-4o-mini,char_length,numeric,0.08190326950400101,0.035866758454539925,0.3972602177686822,0.22939877781113083
junyi,gpt-4o-mini,token_length,numeric,0.03496986199438785,0.033339641582704624,0.11027205435299252,0.07892991040731424
junyi,gpt-4o-mini,math_symbol_count,numeric,-0.004601509381072987,0.007591874874596061,0.005703391452976882,0.014843627887277435
junyi,gpt-4o-mini,equation_count,numeric,-0.03588075209494247,0.00975657908562629,0.0764973150638755,0.06195511283867073
junyi,gpt-4o-mini,mathematical_domain,categorical,,,0.21385691657254474,0.06683151854490045
junyi,gpt-5.4,char_length,numeric,0.1456353058404028,0.018663989148458536,0.49015884250058217,0.30836064449514666
junyi,gpt-5.4,token_length,numeric,-0.0833741268207437,0.014543201039268467,0.15381833830896496,0.142033719272221
junyi,gpt-5.4,math_symbol_count,numeric,0.029489651073834826,0.009599327112681398,0.012690848882191335,0.019453394948534968
junyi,gpt-5.4,equation_count,numeric,-0.009820938680131454,0.00793907550528311,-0.0016925765116180638,0.004658410956034454
junyi,gpt-5.4,mathematical_domain,categorical,,,0.26007356390392944,0.09290415936791559
