dataset,response_limit,condition,mean_delta_log_loss,std_delta
junyi,1,CharacterLength,0.0002999610902883365,0.0021153586693562223
junyi,1,LLM-5.4,0.0002634340250628808,0.0017604342857234752
junyi,1,LLM-Mini,0.00031020124233398504,0.0017561055524994088
junyi,1,Random-Scalar,0.00016602551027182776,0.0015924815243157507
junyi,1,TrainEmpDiff,0.0002805777362224982,0.001858465812215609
junyi,10,CharacterLength,0.00035718272663134434,0.0016769038424122348
junyi,10,LLM-5.4,0.0003491792360559742,0.0016167188319530887
junyi,10,LLM-Mini,0.00037662145467787234,0.00168251279163703
junyi,10,Random-Scalar,0.00035436019816414976,0.001618057422441518
junyi,10,TrainEmpDiff,0.00025897903322196213,0.0018669863223634668
junyi,20,CharacterLength,0.00016393777473748815,0.001003099725658361
junyi,20,LLM-5.4,0.0001248099090623178,0.0010214763165724843
junyi,20,LLM-Mini,0.0001015584187577856,0.0010507508102333134
junyi,20,Random-Scalar,0.00016070486399444306,0.0009858146349432395
junyi,20,TrainEmpDiff,-0.0002718513758360519,0.0011814584259132424
junyi,3,CharacterLength,-0.0006861979304906285,0.0003871541300709562
junyi,3,LLM-5.4,-0.0006189029770374832,0.00047195438443735284
junyi,3,LLM-Mini,-0.0005336211730133655,0.00041682550279222876
junyi,3,Random-Scalar,-0.0006871798368568438,0.0004601893579826729
junyi,3,TrainEmpDiff,-0.0005361770307930503,0.0006224390052087681
junyi,5,CharacterLength,0.001323184775576003,0.0017114808387594228
junyi,5,LLM-5.4,0.0013100757494926673,0.0015951840709972002
junyi,5,LLM-Mini,0.0013594386373208867,0.0017469832432249796
junyi,5,Random-Scalar,0.0012138631450776317,0.0015636869901749265
junyi,5,TrainEmpDiff,0.0013534800836074723,0.0020644137075736353
junyi,warm,CharacterLength,-0.00019467560221230195,0.0014603343286274145
junyi,warm,LLM-5.4,-0.00019459151833641774,0.0014390538161663286
junyi,warm,LLM-Mini,-0.00020686822081806834,0.001471716555321782
junyi,warm,Random-Scalar,-0.00021252900185553258,0.0014498677550628853
junyi,warm,TrainEmpDiff,-0.0003069695181397991,0.001427360471717618
xes3g5m,1,CharacterLength,-5.997858486268548e-05,0.0019021979557409501
xes3g5m,1,LLM-5.4,-0.00019973035876634792,0.0018900319815826337
xes3g5m,1,LLM-Mini,-0.0001709259129887508,0.001886142772020711
xes3g5m,1,Random-Scalar,-1.68692143293514e-05,0.0018452202721040175
xes3g5m,1,TrainEmpDiff,-0.000721020981053444,0.0019040323110752486
xes3g5m,10,CharacterLength,0.00015984312703736235,0.002038583272845068
xes3g5m,10,LLM-5.4,0.00010675748744699564,0.002071718980295119
xes3g5m,10,LLM-Mini,4.435778601830087e-05,0.002020918674842468
xes3g5m,10,Random-Scalar,0.00018926810223240942,0.002028036467133698
xes3g5m,10,TrainEmpDiff,-0.00306591496931643,0.0017296393397209261
xes3g5m,20,CharacterLength,-0.0002973044132195346,0.0016407086013990177
xes3g5m,20,LLM-5.4,-0.00032308244587833104,0.0016690259453933732
xes3g5m,20,LLM-Mini,-0.00041988714543295114,0.0016437138940085055
xes3g5m,20,Random-Scalar,-0.00029187960173202574,0.001632747511960135
xes3g5m,20,TrainEmpDiff,-0.005388693436712666,0.0014202269926169957
xes3g5m,3,CharacterLength,0.0007323653035488543,0.002555271657513816
xes3g5m,3,LLM-5.4,0.0006073112931127556,0.0025868133123263084
xes3g5m,3,LLM-Mini,0.0006300469597401825,0.0026549028652446045
xes3g5m,3,Random-Scalar,0.000761005084678823,0.0025461628983087094
xes3g5m,3,TrainEmpDiff,-0.0016405686010830367,0.0026933242246518115
xes3g5m,5,CharacterLength,0.00014797321749093761,0.0010594261825246714
xes3g5m,5,LLM-5.4,5.493421663083087e-05,0.0011199307851551155
xes3g5m,5,LLM-Mini,4.795502808145891e-05,0.0011051081749804976
xes3g5m,5,Random-Scalar,0.0003903786050087676,0.0005486273335164224
xes3g5m,5,TrainEmpDiff,-0.002224617632279946,0.0012722017943283333
xes3g5m,warm,CharacterLength,0.00028833071147101876,0.0011247131497415675
xes3g5m,warm,LLM-5.4,0.00024359600554269,0.0011351371273489589
xes3g5m,warm,LLM-Mini,0.00031144720359554956,0.0011166735414409686
xes3g5m,warm,Random-Scalar,0.0003473885872744886,0.0011172946443643794
xes3g5m,warm,TrainEmpDiff,-0.0006301952364267338,0.0011517763265607474
