dataset,response_limit,condition,test_log_loss_mean,test_log_loss_std,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std
junyi,1,CharacterLength,0.6026035547670701,0.004518031344620317,0.5153166023428507,0.007528767843254045,0.20484382197716416,0.0022922947968637246,0.06705893712737668,0.009467762712944427
junyi,1,LLM-5.4,0.6025670277018447,0.004662078625991521,0.5152734407910535,0.007489122063735806,0.2048021382352796,0.0023084986740895055,0.06714213751681596,0.009694867681133694
junyi,1,LLM-Mini,0.6026137949191157,0.0046483507952164195,0.5151730254520519,0.0075181943919716936,0.20481616743040149,0.002299916055921675,0.06709684490881106,0.00971813763618349
junyi,1,Random-Scalar,0.6024696191870536,0.004644307048705397,0.5153882033623487,0.007561612455991175,0.204768242649137,0.002296765630994165,0.06701816044803474,0.009637125790922744
junyi,1,Standard,0.6023035936767818,0.004761294329995947,0.5165544756428714,0.005414374906829531,0.20462784909663045,0.002217590129005757,0.06675462969047781,0.009931021412260557
junyi,1,TrainEmpDiff,0.6025841714130042,0.004574303044884722,0.5152533778165449,0.007516153461225686,0.20482129628953652,0.0022852626891973213,0.06709399906141512,0.009556464479147882
junyi,10,CharacterLength,0.5747990158721898,0.003495143143161465,0.5906468441768669,0.01069578932078255,0.19385430730771316,0.0014033960288616933,0.02333244134625784,0.005888862213194762
junyi,10,LLM-5.4,0.5747910123816145,0.003283231682630432,0.5907966643830742,0.009978737905536165,0.19384832029336393,0.0013264024578738787,0.02336120024067702,0.0058080021178382145
junyi,10,LLM-Mini,0.5748184546002364,0.0035447242020900105,0.5907566762495351,0.010508783545347343,0.19386578527465365,0.0014384336337947316,0.02348259225265282,0.006120876386307103
junyi,10,Random-Scalar,0.5747961933437227,0.0032466297521305675,0.5907122647360161,0.00986806748730069,0.19385570084321063,0.0012996992372075469,0.023292140139545062,0.005679627029581274
junyi,10,Standard,0.5744418331455584,0.0029988220420541973,0.5907031432758568,0.00693148961394987,0.19365909017375998,0.0012441102045175046,0.02161582198253956,0.007073751867861558
junyi,10,TrainEmpDiff,0.5747008121787804,0.004019625850871148,0.5910045814899256,0.012052472222158475,0.19381202737595699,0.0016126903788148282,0.02347622380593518,0.006252038176211735
junyi,20,CharacterLength,0.5669423471675287,0.0011819205819383072,0.6167897749001916,0.005670891807931296,0.19072597396554192,0.0004916964237479352,0.019225103271136558,0.002960463884026372
