dataset,model,association,n_items,spearman_rho,spearman_ci_lo,spearman_ci_hi
xes3g5m,gpt-4o-mini,LLM_score_vs_character_length,3279,0.5994065411144538,0.5720575985305408,0.622876107820325
xes3g5m,gpt-4o-mini,LLM_score_vs_held_out_error,3279,0.10709592942545954,0.0747934564078876,0.1379243114188224
xes3g5m,gpt-4o-mini,character_length_minus_held_out_error,3279,0.49231061168899426,0.45208735125817395,0.5315171173203708
xes3g5m,gpt-5.4,LLM_score_vs_character_length,3279,0.5238609418199248,0.4952805083906414,0.5499972075642409
xes3g5m,gpt-5.4,LLM_score_vs_held_out_error,3279,0.11482425577989072,0.08337210710586346,0.14931022906758737
xes3g5m,gpt-5.4,character_length_minus_held_out_error,3279,0.40903668604003407,0.3640422047575419,0.44537203484318016
junyi,gpt-4o-mini,LLM_score_vs_character_length,183,0.5020534193755332,0.38378844745206486,0.6061333821930627
junyi,gpt-4o-mini,LLM_score_vs_held_out_error,183,0.23587472939759976,0.08032284016641043,0.3653773393994189
junyi,gpt-4o-mini,character_length_minus_held_out_error,183,0.26617868997793337,0.0918204421264851,0.43952963954263186
junyi,gpt-5.4,LLM_score_vs_character_length,183,0.25495397178982304,0.11609670514533789,0.40074514976578735
junyi,gpt-5.4,LLM_score_vs_held_out_error,183,0.17359901281479165,0.021728660197324053,0.318405221695731
junyi,gpt-5.4,character_length_minus_held_out_error,183,0.0813549589750314,-0.11705918131116586,0.2658330111898356
