seed,condition,rho_d_llm_d_gen,rho_d_llm_sim_error,rho_d_gen_sim_error,rank_agreement_llm_gen,mean_sim_error,review_precision,review_recall,review_ndcg
2024,S5,0.4939478387243351,0.45312535075744637,0.9406851581798182,0.4939478387243351,0.26126165910559246,0.35,0.35,0.5311037354418117
42,S5,0.5124241386739997,0.5217014674985666,0.9495693536722224,0.5124241386739997,0.24816403639198983,0.3,0.3,0.5305770560225546
123,S5,0.5353443818826131,0.5384018148358655,0.9429756894996245,0.5353443818826131,0.21065240544012057,0.3,0.3,0.483757055563926
456,S5,0.508969816305611,0.47105031870693626,0.9472639697491582,0.508969816305611,0.23260591615960868,0.3,0.3,0.529379054334149
789,S5,0.4794440484597699,0.4553278160501236,0.9260982509298189,0.4794440484597699,0.23288538104266984,0.2,0.2,0.49704076318582924
1001,S5,0.4792749557564222,0.4497576261785692,0.9576296229896816,0.4792749557564222,0.23928102347224814,0.25,0.25,0.49704076318582924
2025,S5,0.4956146096573339,0.4936401228977566,0.930455176908541,0.4956146096573339,0.24837217635238049,0.3,0.3,0.45985412670885184
314,S5,0.47622583249282985,0.4460158543863442,0.9498996839236553,0.47622583249282985,0.22950618057405944,0.3,0.3,0.49823876487423474
2718,S5,0.4888220700486617,0.47907124366808956,0.9569530687221024,0.4888220700486617,0.2555310152626962,0.3,0.3,0.4924220067733029
1618,S5,0.527395466367176,0.4796490773239096,0.9371855273808491,0.527395466367176,0.22055297440207208,0.35,0.35,0.45985412670885184
