seed,condition,rho_d_llm_d_gen,rho_d_llm_sim_error,rho_d_gen_sim_error,rank_agreement_llm_gen,mean_sim_error,review_precision,review_recall,review_ndcg
2024,S0,0.9999999999999999,0.9613338171279238,0.9613338171279238,0.9999999999999999,0.3600685153683017,0.95,0.95,1.0
2024,S1,0.9300470645796696,0.9160862812763828,0.9751541801651111,0.9300470645796696,0.408103031435212,0.85,0.85,1.0
2024,S2,0.6992829839712253,0.6796217746695008,0.9716666743069914,0.6992829839712253,0.378636418071613,0.45,0.45,0.7958022707315285
2024,S3,0.3633211587995772,0.3471745997669115,0.9720408300774415,0.3633211587995772,0.386801085516437,0.05,0.05,0.37089195274736414
2024,S4,0.019548855136725406,0.019125873429685997,0.9610501069959135,0.019548855136725406,0.3608976975088325,0.05,0.05,0.11064108687264426
2024,S5,0.4939478387243351,0.45312535075744637,0.9406851581798182,0.4939478387243351,0.26126165910559246,0.35,0.35,0.5311037354418117
42,S0,0.9999999999999999,0.9620432100486644,0.9620432100486644,0.9999999999999999,0.3594976767098724,0.9,0.9,1.0
42,S1,0.9300470645796696,0.9071514198686417,0.9794479985308228,0.9300470645796696,0.4100727013151062,0.85,0.85,1.0
42,S2,0.6992829839712253,0.6742994033511066,0.9768540617118798,0.6992829839712253,0.3772739847134263,0.35,0.35,0.7293875349831623
42,S3,0.3633211587995772,0.3086378090155326,0.9736772833774475,0.3633211587995772,0.386654922780116,0.05,0.05,0.37089195274736414
42,S4,0.019548855136725406,-0.003419671041618764,0.9622082347597926,0.019548855136725406,0.3622112925272921,0.05,0.05,0.1612367698472613
42,S5,0.5124241386739997,0.5217014674985666,0.9495693536722224,0.5124241386739997,0.24816403639198983,0.3,0.3,0.5305770560225546
123,S0,0.9999999999999999,0.9616771574058243,0.9616771574058243,0.9999999999999999,0.3503634560597925,0.9,0.9,1.0
123,S1,0.9300470645796696,0.9129768657835532,0.9798748474439676,0.9300470645796696,0.40079995596676116,0.85,0.85,1.0
123,S2,0.6992829839712253,0.6648804263184384,0.9729900979443349,0.6992829839712253,0.3691401728363064,0.4,0.4,0.8030505733381458
123,S3,0.3633211587995772,0.31669608434597146,0.9731736893416567,0.3633211587995772,0.3797189654836506,0.05,0.05,0.2761985929915926
123,S4,0.019548855136725406,-0.01303741809385275,0.9618405654350504,0.019548855136725406,0.35421897341111874,0.05,0.05,0.13863516308327423
