seed,rho_d_llm_s5_d_gen,d_gen_mean,d_gen_sd,beta_min,beta_max
2024,0.4939478387243351,4.4408920985006264e-17,0.9999999824448086,0.0,0.9999999983054559
42,0.5124241386739997,-1.7763568394002505e-17,0.9999999823228252,0.0,0.9999999984437656
123,0.5353443818826131,1.9984014443252817e-17,0.9999999826285548,0.0,0.9999999983840369
456,0.508969816305611,2.886579864025407e-17,0.9999999822792861,0.0,0.9999999984411424
789,0.4794440484597699,3.552713678800501e-17,0.999999982956602,0.0,0.9999999983785796
1001,0.4792749557564222,1.7763568394002505e-17,0.9999999824914203,0.0,0.999999998356843
2025,0.4956146096573339,2.886579864025407e-17,0.9999999822759618,0.0,0.9999999983832383
314,0.47622583249282985,1.3322676295501878e-17,0.9999999825815086,0.0,0.9999999984099179
2718,0.4888220700486617,4.440892098500626e-18,0.9999999824204308,0.0,0.9999999983605204
1618,0.527395466367176,8.881784197001253e-18,0.9999999826483065,0.0,0.9999999983559772
