dataset,backbone,condition,seed,n_folds,status,primary_log_loss,primary_auc,primary_brier,primary_ece,primary_n,secondary_log_loss,secondary_auc,secondary_brier,secondary_ece,secondary_n
junyi,GRU,CharacterLength,42,5,ok,0.7630407142776642,0.568771877501293,0.268695907116531,0.14599713941870943,49181,0.5251125316720359,0.7056123706305693,0.1720727335710834,0.02457877591578229,429105
junyi,GRU,CharacterLength,123,5,ok,0.7620575818022517,0.5701243758167497,0.2683372909757213,0.12917375513309942,49181,0.5293954370060551,0.7081729184120773,0.17319397101868816,0.04428881326761139,429105
junyi,GRU,CharacterLength,456,5,ok,0.7615978639439057,0.569792031755478,0.2683151241130485,0.12390593634456087,49181,0.5255238161223099,0.7105294716258399,0.1721501921420642,0.03734213156476237,429105
junyi,GRU,CharacterLength,789,5,ok,0.7623925074408631,0.5676246477588306,0.26859853414463947,0.1307887635202192,49181,0.5246901916246525,0.7124820355263829,0.17192941757770944,0.03744863803005,429105
junyi,GRU,CharacterLength,2024,5,ok,0.7726274338083868,0.5601341271376474,0.27155670968103696,0.13300027004129614,49181,0.5296307798435391,0.7048725223819691,0.1735065343959403,0.0437150742784465,429105
junyi,GRU,LLM-5.4,42,5,ok,0.7645367881999149,0.5648533670778149,0.2693630529202912,0.1485327524101497,49181,0.5257558258156584,0.7048896679929093,0.17235038525721744,0.02517089251046812,429105
junyi,GRU,LLM-5.4,123,5,ok,0.7660015439605263,0.5677385570593215,0.26982507802943656,0.1313890286006753,49181,0.5307766432094939,0.7063283339977272,0.17372358619983058,0.04380306973199988,429105
junyi,GRU,LLM-5.4,456,5,ok,0.7643240910627515,0.5680235061947365,0.26938131335898585,0.12593518115306032,49181,0.5263551725328102,0.7093300042700598,0.17249458537358883,0.036419173401422124,429105
junyi,GRU,LLM-5.4,789,5,ok,0.763977619149424,0.5635774889399081,0.26918925290203916,0.13396381820210607,49181,0.5252587733992594,0.7120973277168234,0.1721747455247293,0.03775357993667998,429105
junyi,GRU,LLM-5.4,2024,5,ok,0.7735162392802013,0.5601825581051254,0.2720019692270404,0.13330086965075025,49181,0.5300359002290113,0.7044946547761296,0.173704677830392,0.04303234269999489,429105
junyi,GRU,LLM-Mini,42,5,ok,0.7638692466385836,0.5655161564886714,0.26913243457880176,0.14760519757259977,49181,0.5254551600821311,0.7053078379053991,0.17223293986251592,0.025067789641857484,429105
junyi,GRU,LLM-Mini,123,5,ok,0.7632716202546465,0.5699863963463607,0.2688352008063809,0.13189520761702425,49181,0.5298830302699845,0.7077606114504638,0.17338323730782973,0.04425538411050056,429105
junyi,GRU,LLM-Mini,456,5,ok,0.7622344182515761,0.5706488825663791,0.26861403553078006,0.12556892673682243,49181,0.5256937071321809,0.7101745754206059,0.17222909350910404,0.036655381303528245,429105
junyi,GRU,LLM-Mini,789,5,ok,0.7629913281289077,0.5642196957130514,0.26888303703643324,0.13172185877476478,49181,0.5248759389771539,0.7124071968802412,0.17203161400001576,0.037415199133801647,429105
junyi,GRU,LLM-Mini,2024,5,ok,0.7733068916365348,0.5606741091831885,0.27188594314661657,0.13338921044999505,49181,0.5297843541143972,0.7048132705506654,0.17360359548407936,0.04319644637221043,429105
junyi,GRU,Random-Scalar,42,5,ok,0.762965842401698,0.56768663437194,0.26864758969639485,0.12599025409425466,49181,0.5251042923879825,0.705839698102516,0.17207171565259388,0.02481383278920287,429105
junyi,GRU,Random-Scalar,123,5,ok,0.7639167600669317,0.56915125466952,0.2688599466717572,0.13063323285924308,49181,0.5297874593451954,0.7076172869852332,0.17336311633334056,0.04423409432427666,429105
junyi,GRU,Random-Scalar,456,5,ok,0.7625522576633406,0.5685726116043717,0.2685625745061337,0.12401148498246775,49181,0.5258472393922505,0.7102353388197169,0.17227666718240098,0.03759758104335969,429105
junyi,GRU,Random-Scalar,789,5,ok,0.7624342317217069,0.5670230777710062,0.26856362410986967,0.13120512053929786,49181,0.5248212164408633,0.7128331162239792,0.17200384204951527,0.03828114451559299,429105
